K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Test 126, loss: 0.910888, test acc: 0.825000, test avg acc: 0.813889
Train 127, loss: 0.911564, train acc: 0.853333, train avg acc: 0.851243
Test 127, loss: 0.911500, test acc: 0.850000, test avg acc: 0.844444
Train 128, loss: 0.905640, train acc: 0.846667, train avg acc: 0.851046
Test 128, loss: 0.915371, test acc: 0.850000, test avg acc: 0.841667
Train 129, loss: 0.901558, train acc: 0.853333, train avg acc: 0.857939
Test 129, loss: 0.904864, test acc: 0.850000, test avg acc: 0.841667
Train 130, loss: 0.891738, train acc: 0.866667, train avg acc: 0.865919
Test 130, loss: 0.895664, test acc: 0.850000, test avg acc: 0.838889
Train 131, loss: 0.897579, train acc: 0.866667, train avg acc: 0.870277
Test 131, loss: 0.895959, test acc: 0.875000, test avg acc: 0.866667
Train 132, loss: 0.880196, train acc: 0.893333, train avg acc: 0.891575
Test 132, loss: 0.903506, test acc: 0.850000, test avg acc: 0.838889
Train 133, loss: 0.892779, train acc: 0.860000, train avg acc: 0.865385
Test 133, loss: 0.912512, test acc: 0.825000, test avg acc: 0.813889
Train 134, loss: 0.893069, train acc: 0.880000, train avg acc: 0.880804
Test 134, loss: 0.908798, test acc: 0.875000, test avg acc: 0.866667
Train 135, loss: 0.901405, train acc: 0.840000, train avg acc: 0.846037
Test 135, loss: 0.912427, test acc: 0.850000, test avg acc: 0.841667
Train 136, loss: 0.878344, train acc: 0.873333, train avg acc: 0.875433
Test 136, loss: 0.905555, test acc: 0.875000, test avg acc: 0.866667
Train 137, loss: 0.880977, train acc: 0.853333, train avg acc: 0.851608
Test 137, loss: 0.905433, test acc: 0.850000, test avg acc: 0.844444
Train 138, loss: 0.904526, train acc: 0.880000, train avg acc: 0.879801
Test 138, loss: 0.897422, test acc: 0.850000, test avg acc: 0.844444
Train 139, loss: 0.887924, train acc: 0.833333, train avg acc: 0.833521
Test 139, loss: 0.888410, test acc: 0.875000, test avg acc: 0.869444
Train 140, loss: 0.890157, train acc: 0.873333, train avg acc: 0.873397
Test 140, loss: 0.889498, test acc: 0.875000, test avg acc: 0.869444
Train 141, loss: 0.891436, train acc: 0.866667, train avg acc: 0.866999
Test 141, loss: 0.890053, test acc: 0.875000, test avg acc: 0.869444
Train 142, loss: 0.895103, train acc: 0.880000, train avg acc: 0.878655
Test 142, loss: 0.890068, test acc: 0.875000, test avg acc: 0.869444
Train 143, loss: 0.877937, train acc: 0.906667, train avg acc: 0.907895
Test 143, loss: 0.894913, test acc: 0.875000, test avg acc: 0.869444
Train 144, loss: 0.883209, train acc: 0.893333, train avg acc: 0.895139
Test 144, loss: 0.893571, test acc: 0.850000, test avg acc: 0.844444
Train 145, loss: 0.886447, train acc: 0.893333, train avg acc: 0.898355
Test 145, loss: 0.893613, test acc: 0.875000, test avg acc: 0.866667
Train 146, loss: 0.911818, train acc: 0.846667, train avg acc: 0.844941
Test 146, loss: 0.899234, test acc: 0.850000, test avg acc: 0.841667
Train 147, loss: 0.879873, train acc: 0.880000, train avg acc: 0.881497
Test 147, loss: 0.902743, test acc: 0.825000, test avg acc: 0.816667
Train 148, loss: 0.891543, train acc: 0.880000, train avg acc: 0.880876
Test 148, loss: 0.887999, test acc: 0.850000, test avg acc: 0.844444
Train 149, loss: 0.893819, train acc: 0.866667, train avg acc: 0.870445
Test 149, loss: 0.889704, test acc: 0.900000, test avg acc: 0.894444
Train 150, loss: 0.891411, train acc: 0.873333, train avg acc: 0.876350
Test 150, loss: 0.891520, test acc: 0.875000, test avg acc: 0.869444
Train 151, loss: 0.868278, train acc: 0.893333, train avg acc: 0.895357
Test 151, loss: 0.893164, test acc: 0.875000, test avg acc: 0.869444
Train 152, loss: 0.873909, train acc: 0.886667, train avg acc: 0.888254
Test 152, loss: 0.898669, test acc: 0.875000, test avg acc: 0.869444
Train 153, loss: 0.885866, train acc: 0.906667, train avg acc: 0.906517
Test 153, loss: 0.900455, test acc: 0.875000, test avg acc: 0.869444
Train 154, loss: 0.888315, train acc: 0.866667, train avg acc: 0.868421
Test 154, loss: 0.899113, test acc: 0.850000, test avg acc: 0.838889
Train 155, loss: 0.870467, train acc: 0.906667, train avg acc: 0.909361
Test 155, loss: 0.896142, test acc: 0.850000, test avg acc: 0.841667
Train 156, loss: 0.876836, train acc: 0.873333, train avg acc: 0.878205
Test 156, loss: 0.898253, test acc: 0.875000, test avg acc: 0.869444
