K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Train 166, loss: 1.024413, train acc: 0.726667, train avg acc: 0.734597
Test 166, loss: 1.046080, test acc: 0.650000, test avg acc: 0.625000
Train 167, loss: 1.005976, train acc: 0.693333, train avg acc: 0.704605
Test 167, loss: 1.044743, test acc: 0.675000, test avg acc: 0.650000
Train 168, loss: 1.022247, train acc: 0.740000, train avg acc: 0.740932
Test 168, loss: 1.014261, test acc: 0.700000, test avg acc: 0.677778
Train 169, loss: 1.034457, train acc: 0.720000, train avg acc: 0.718295
Test 169, loss: 0.995435, test acc: 0.725000, test avg acc: 0.705556
Train 170, loss: 1.013074, train acc: 0.720000, train avg acc: 0.730090
Test 170, loss: 1.006798, test acc: 0.700000, test avg acc: 0.683333
Train 171, loss: 0.999820, train acc: 0.740000, train avg acc: 0.739258
Test 171, loss: 1.000392, test acc: 0.725000, test avg acc: 0.702778
Train 172, loss: 1.032892, train acc: 0.713333, train avg acc: 0.721933
Test 172, loss: 1.011145, test acc: 0.650000, test avg acc: 0.625000
Train 173, loss: 1.037405, train acc: 0.686667, train avg acc: 0.686937
Test 173, loss: 1.008829, test acc: 0.675000, test avg acc: 0.650000
Train 174, loss: 1.031313, train acc: 0.706667, train avg acc: 0.706956
Test 174, loss: 0.995567, test acc: 0.725000, test avg acc: 0.702778
Train 175, loss: 1.035552, train acc: 0.700000, train avg acc: 0.707439
Test 175, loss: 0.989947, test acc: 0.750000, test avg acc: 0.733333
Train 176, loss: 1.009761, train acc: 0.746667, train avg acc: 0.752663
Test 176, loss: 0.986288, test acc: 0.700000, test avg acc: 0.680556
Train 177, loss: 1.024482, train acc: 0.713333, train avg acc: 0.718363
Test 177, loss: 0.994079, test acc: 0.675000, test avg acc: 0.652778
Train 178, loss: 0.991756, train acc: 0.793333, train avg acc: 0.798405
Test 178, loss: 1.004906, test acc: 0.725000, test avg acc: 0.702778
Train 179, loss: 0.991917, train acc: 0.780000, train avg acc: 0.777473
Test 179, loss: 1.000557, test acc: 0.725000, test avg acc: 0.702778
Train 180, loss: 1.008041, train acc: 0.726667, train avg acc: 0.733637
Test 180, loss: 0.994463, test acc: 0.700000, test avg acc: 0.677778
Train 181, loss: 1.013508, train acc: 0.713333, train avg acc: 0.721161
Test 181, loss: 0.996024, test acc: 0.750000, test avg acc: 0.730556
Train 182, loss: 1.035756, train acc: 0.773333, train avg acc: 0.781250
Test 182, loss: 0.997178, test acc: 0.750000, test avg acc: 0.730556
Train 183, loss: 1.011494, train acc: 0.713333, train avg acc: 0.715003
Test 183, loss: 0.999507, test acc: 0.775000, test avg acc: 0.755556
Train 184, loss: 1.015339, train acc: 0.780000, train avg acc: 0.777047
Test 184, loss: 0.993536, test acc: 0.750000, test avg acc: 0.727778
Train 185, loss: 0.989509, train acc: 0.780000, train avg acc: 0.779130
Test 185, loss: 0.988389, test acc: 0.775000, test avg acc: 0.755556
Train 186, loss: 0.987260, train acc: 0.753333, train avg acc: 0.758921
Test 186, loss: 0.987830, test acc: 0.750000, test avg acc: 0.730556
Train 187, loss: 0.997183, train acc: 0.740000, train avg acc: 0.750000
Test 187, loss: 0.981611, test acc: 0.750000, test avg acc: 0.730556
Train 188, loss: 1.000953, train acc: 0.753333, train avg acc: 0.751571
Test 188, loss: 0.980335, test acc: 0.775000, test avg acc: 0.758333
Train 189, loss: 0.981587, train acc: 0.760000, train avg acc: 0.763770
Test 189, loss: 0.977838, test acc: 0.775000, test avg acc: 0.758333
Train 190, loss: 0.995331, train acc: 0.766667, train avg acc: 0.768711
