K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet_norm
Test 153, loss: 0.936056, test acc: 0.700000, test avg acc: 0.688889
Train 154, loss: 0.880077, train acc: 0.860000, train avg acc: 0.865461
Test 154, loss: 0.934663, test acc: 0.750000, test avg acc: 0.744444
Train 155, loss: 0.838047, train acc: 0.920000, train avg acc: 0.919512
Test 155, loss: 0.923974, test acc: 0.750000, test avg acc: 0.741667
Train 156, loss: 0.896294, train acc: 0.853333, train avg acc: 0.855263
Test 156, loss: 0.918516, test acc: 0.800000, test avg acc: 0.788889
Train 157, loss: 0.857588, train acc: 0.920000, train avg acc: 0.919808
Test 157, loss: 0.924446, test acc: 0.800000, test avg acc: 0.786111
Train 158, loss: 0.865736, train acc: 0.913333, train avg acc: 0.917147
Test 158, loss: 0.918917, test acc: 0.800000, test avg acc: 0.788889
Train 159, loss: 0.874003, train acc: 0.873333, train avg acc: 0.876389
Test 159, loss: 0.920183, test acc: 0.775000, test avg acc: 0.761111
Train 160, loss: 0.859051, train acc: 0.886667, train avg acc: 0.885684
Test 160, loss: 0.923077, test acc: 0.800000, test avg acc: 0.786111
Train 161, loss: 0.859899, train acc: 0.893333, train avg acc: 0.893137
Test 161, loss: 0.923579, test acc: 0.775000, test avg acc: 0.761111
Train 162, loss: 0.883978, train acc: 0.860000, train avg acc: 0.867619
Test 162, loss: 0.934560, test acc: 0.700000, test avg acc: 0.688889
Train 163, loss: 0.844829, train acc: 0.913333, train avg acc: 0.912281
Test 163, loss: 0.943154, test acc: 0.750000, test avg acc: 0.744444
Train 164, loss: 0.865937, train acc: 0.880000, train avg acc: 0.880156
Test 164, loss: 0.930538, test acc: 0.725000, test avg acc: 0.713889
Train 165, loss: 0.875251, train acc: 0.913333, train avg acc: 0.915992
Test 165, loss: 0.921120, test acc: 0.750000, test avg acc: 0.736111
Train 166, loss: 0.848156, train acc: 0.893333, train avg acc: 0.895918
Test 166, loss: 0.916883, test acc: 0.750000, test avg acc: 0.736111
Train 167, loss: 0.849031, train acc: 0.940000, train avg acc: 0.940705
Test 167, loss: 0.919153, test acc: 0.750000, test avg acc: 0.736111
Train 168, loss: 0.885599, train acc: 0.853333, train avg acc: 0.855509
Test 168, loss: 0.923555, test acc: 0.725000, test avg acc: 0.713889
Train 169, loss: 0.864090, train acc: 0.900000, train avg acc: 0.901389
Test 169, loss: 0.925807, test acc: 0.750000, test avg acc: 0.736111
Train 170, loss: 0.863021, train acc: 0.893333, train avg acc: 0.898355
Test 170, loss: 0.930026, test acc: 0.800000, test avg acc: 0.786111
Train 171, loss: 0.856734, train acc: 0.873333, train avg acc: 0.871345
Test 171, loss: 0.924775, test acc: 0.775000, test avg acc: 0.761111
Train 172, loss: 0.862342, train acc: 0.886667, train avg acc: 0.891026
Test 172, loss: 0.924918, test acc: 0.775000, test avg acc: 0.761111
Train 173, loss: 0.858814, train acc: 0.860000, train avg acc: 0.858108
Test 173, loss: 0.929606, test acc: 0.775000, test avg acc: 0.761111
Train 174, loss: 0.853889, train acc: 0.893333, train avg acc: 0.895357
Test 174, loss: 0.931522, test acc: 0.750000, test avg acc: 0.736111
Train 175, loss: 0.856996, train acc: 0.906667, train avg acc: 0.906165
Test 175, loss: 0.930353, test acc: 0.750000, test avg acc: 0.738889
Train 176, loss: 0.866941, train acc: 0.900000, train avg acc: 0.902328
Test 176, loss: 0.927419, test acc: 0.750000, test avg acc: 0.736111
Train 177, loss: 0.844162, train acc: 0.893333, train avg acc: 0.892178
Test 177, loss: 0.926271, test acc: 0.775000, test avg acc: 0.761111
Train 178, loss: 0.843807, train acc: 0.900000, train avg acc: 0.902159
Test 178, loss: 0.931100, test acc: 0.750000, test avg acc: 0.741667
Train 179, loss: 0.867999, train acc: 0.880000, train avg acc: 0.884615
Test 179, loss: 0.933630, test acc: 0.750000, test avg acc: 0.741667
Train 180, loss: 0.858208, train acc: 0.893333, train avg acc: 0.894664
Test 180, loss: 0.933432, test acc: 0.750000, test avg acc: 0.741667
Train 181, loss: 0.876122, train acc: 0.906667, train avg acc: 0.908177
Test 181, loss: 0.940184, test acc: 0.725000, test avg acc: 0.711111
Train 182, loss: 0.860384, train acc: 0.920000, train avg acc: 0.922215
Test 182, loss: 0.944928, test acc: 0.725000, test avg acc: 0.711111
Train 183, loss: 0.839836, train acc: 0.920000, train avg acc: 0.920305
Test 183, loss: 0.944723, test acc: 0.725000, test avg acc: 0.711111
Train 184, loss: 0.860598, train acc: 0.873333, train avg acc: 0.876389
Test 184, loss: 0.943090, test acc: 0.700000, test avg acc: 0.686111
Train 185, loss: 0.868288, train acc: 0.900000, train avg acc: 0.900641
Test 185, loss: 0.935134, test acc: 0.700000, test avg acc: 0.686111
Train 186, loss: 0.884641, train acc: 0.893333, train avg acc: 0.896086
Test 186, loss: 0.931392, test acc: 0.725000, test avg acc: 0.713889
Train 187, loss: 0.853820, train acc: 0.913333, train avg acc: 0.916776
Test 187, loss: 0.928481, test acc: 0.750000, test avg acc: 0.738889
Train 188, loss: 0.876440, train acc: 0.880000, train avg acc: 0.882939
Test 188, loss: 0.929200, test acc: 0.750000, test avg acc: 0.738889
Train 189, loss: 0.848676, train acc: 0.940000, train avg acc: 0.941268
Test 189, loss: 0.928861, test acc: 0.775000, test avg acc: 0.761111
Train 190, loss: 0.859172, train acc: 0.900000, train avg acc: 0.897335
