K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Test 148, loss: 1.033108, test acc: 0.700000, test avg acc: 0.683333
Train 149, loss: 1.066630, train acc: 0.700000, train avg acc: 0.700477
Test 149, loss: 1.038939, test acc: 0.600000, test avg acc: 0.580556
Train 150, loss: 1.093589, train acc: 0.673333, train avg acc: 0.679935
Test 150, loss: 1.042376, test acc: 0.600000, test avg acc: 0.580556
Train 151, loss: 1.087549, train acc: 0.620000, train avg acc: 0.619844
Test 151, loss: 1.054793, test acc: 0.675000, test avg acc: 0.655556
Train 152, loss: 1.084225, train acc: 0.666667, train avg acc: 0.677357
Test 152, loss: 1.049221, test acc: 0.725000, test avg acc: 0.708333
Train 153, loss: 1.117309, train acc: 0.640000, train avg acc: 0.640334
Test 153, loss: 1.036441, test acc: 0.675000, test avg acc: 0.658333
Train 154, loss: 1.108691, train acc: 0.646667, train avg acc: 0.657920
Test 154, loss: 1.033092, test acc: 0.675000, test avg acc: 0.658333
Train 155, loss: 1.056580, train acc: 0.673333, train avg acc: 0.677266
Test 155, loss: 1.009166, test acc: 0.700000, test avg acc: 0.683333
Train 156, loss: 1.072270, train acc: 0.680000, train avg acc: 0.683878
Test 156, loss: 1.021613, test acc: 0.725000, test avg acc: 0.711111
Train 157, loss: 1.063199, train acc: 0.626667, train avg acc: 0.631585
Test 157, loss: 1.015660, test acc: 0.750000, test avg acc: 0.736111
Train 158, loss: 1.079748, train acc: 0.686667, train avg acc: 0.694105
Test 158, loss: 1.054115, test acc: 0.650000, test avg acc: 0.630556
Train 159, loss: 1.094668, train acc: 0.693333, train avg acc: 0.695590
Test 159, loss: 1.006279, test acc: 0.750000, test avg acc: 0.727778
Train 160, loss: 1.107200, train acc: 0.633333, train avg acc: 0.644647
Test 160, loss: 1.008524, test acc: 0.725000, test avg acc: 0.700000
Train 161, loss: 1.039311, train acc: 0.713333, train avg acc: 0.718165
Test 161, loss: 1.045557, test acc: 0.675000, test avg acc: 0.650000
Train 162, loss: 1.057389, train acc: 0.706667, train avg acc: 0.712759
Test 162, loss: 1.034877, test acc: 0.650000, test avg acc: 0.625000
Train 163, loss: 1.092684, train acc: 0.686667, train avg acc: 0.688645
Test 163, loss: 1.013341, test acc: 0.700000, test avg acc: 0.675000
Train 164, loss: 1.067175, train acc: 0.740000, train avg acc: 0.740497
Test 164, loss: 1.033888, test acc: 0.700000, test avg acc: 0.680556
Train 165, loss: 1.055631, train acc: 0.720000, train avg acc: 0.720429
Test 165, loss: 1.028007, test acc: 0.700000, test avg acc: 0.680556
Train 166, loss: 1.055922, train acc: 0.686667, train avg acc: 0.700278
Test 166, loss: 0.987852, test acc: 0.750000, test avg acc: 0.730556
Train 167, loss: 1.073811, train acc: 0.633333, train avg acc: 0.647910
Test 167, loss: 0.982183, test acc: 0.775000, test avg acc: 0.758333
Train 168, loss: 1.046927, train acc: 0.693333, train avg acc: 0.695057
Test 168, loss: 0.985376, test acc: 0.750000, test avg acc: 0.733333
Train 169, loss: 1.088852, train acc: 0.686667, train avg acc: 0.687283
Test 169, loss: 1.005415, test acc: 0.800000, test avg acc: 0.783333
Train 170, loss: 1.070252, train acc: 0.660000, train avg acc: 0.669925
Test 170, loss: 1.005010, test acc: 0.725000, test avg acc: 0.705556
Train 171, loss: 1.038440, train acc: 0.700000, train avg acc: 0.699064
Test 171, loss: 0.998122, test acc: 0.775000, test avg acc: 0.755556
Train 172, loss: 1.037800, train acc: 0.726667, train avg acc: 0.734021
Test 172, loss: 0.989275, test acc: 0.825000, test avg acc: 0.808333
Train 173, loss: 1.069521, train acc: 0.640000, train avg acc: 0.645877
Test 173, loss: 0.997738, test acc: 0.775000, test avg acc: 0.758333
Train 174, loss: 1.063706, train acc: 0.700000, train avg acc: 0.703067
Test 174, loss: 1.010688, test acc: 0.750000, test avg acc: 0.733333
Train 175, loss: 1.124398, train acc: 0.593333, train avg acc: 0.604607
Test 175, loss: 1.010394, test acc: 0.750000, test avg acc: 0.730556
