K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Train 132, loss: 0.794362, train acc: 0.966667, train avg acc: 0.968056
Test 132, loss: 0.991350, test acc: 0.825000, test avg acc: 0.819444
Train 133, loss: 0.811352, train acc: 0.946667, train avg acc: 0.945833
Test 133, loss: 1.029611, test acc: 0.800000, test avg acc: 0.794444
Train 134, loss: 0.832347, train acc: 0.926667, train avg acc: 0.926389
Test 134, loss: 1.004281, test acc: 0.800000, test avg acc: 0.794444
Train 135, loss: 0.809366, train acc: 0.953333, train avg acc: 0.953947
Test 135, loss: 0.988059, test acc: 0.775000, test avg acc: 0.761111
Train 136, loss: 0.815769, train acc: 0.953333, train avg acc: 0.953770
Test 136, loss: 0.938947, test acc: 0.825000, test avg acc: 0.813889
Train 137, loss: 0.824515, train acc: 0.946667, train avg acc: 0.948718
Test 137, loss: 0.928052, test acc: 0.775000, test avg acc: 0.761111
Train 138, loss: 0.818206, train acc: 0.946667, train avg acc: 0.949359
Test 138, loss: 0.991289, test acc: 0.800000, test avg acc: 0.797222
Train 139, loss: 0.792323, train acc: 0.980000, train avg acc: 0.979908
Test 139, loss: 0.949595, test acc: 0.825000, test avg acc: 0.822222
Train 140, loss: 0.822068, train acc: 0.960000, train avg acc: 0.959430
Test 140, loss: 0.919756, test acc: 0.850000, test avg acc: 0.841667
Train 141, loss: 0.821700, train acc: 0.926667, train avg acc: 0.929487
Test 141, loss: 0.933555, test acc: 0.775000, test avg acc: 0.763889
Train 142, loss: 0.785885, train acc: 0.986667, train avg acc: 0.986993
Test 142, loss: 0.940649, test acc: 0.775000, test avg acc: 0.763889
Train 143, loss: 0.805151, train acc: 0.960000, train avg acc: 0.961004
Test 143, loss: 0.929469, test acc: 0.825000, test avg acc: 0.819444
Train 144, loss: 0.786436, train acc: 0.986667, train avg acc: 0.986842
Test 144, loss: 0.934281, test acc: 0.800000, test avg acc: 0.791667
Train 145, loss: 0.823810, train acc: 0.933333, train avg acc: 0.936699
Test 145, loss: 0.955276, test acc: 0.800000, test avg acc: 0.786111
Train 146, loss: 0.805325, train acc: 0.980000, train avg acc: 0.979861
Test 146, loss: 0.949739, test acc: 0.800000, test avg acc: 0.791667
Train 147, loss: 0.808400, train acc: 0.960000, train avg acc: 0.960161
Test 147, loss: 0.942666, test acc: 0.800000, test avg acc: 0.794444
Train 148, loss: 0.804135, train acc: 0.946667, train avg acc: 0.947341
Test 148, loss: 0.949849, test acc: 0.800000, test avg acc: 0.791667
Train 149, loss: 0.795069, train acc: 0.960000, train avg acc: 0.961111
Test 149, loss: 0.941709, test acc: 0.800000, test avg acc: 0.794444
Train 150, loss: 0.791002, train acc: 0.973333, train avg acc: 0.974359
Test 150, loss: 0.969560, test acc: 0.825000, test avg acc: 0.822222
Train 151, loss: 0.781512, train acc: 0.980000, train avg acc: 0.980085
Test 151, loss: 0.955148, test acc: 0.850000, test avg acc: 0.844444
Train 152, loss: 0.806607, train acc: 0.966667, train avg acc: 0.965977
Test 152, loss: 0.993355, test acc: 0.775000, test avg acc: 0.758333
Train 153, loss: 0.844950, train acc: 0.966667, train avg acc: 0.964850
Test 153, loss: 0.983680, test acc: 0.800000, test avg acc: 0.788889
Train 154, loss: 0.799322, train acc: 0.966667, train avg acc: 0.967602
Test 154, loss: 0.981515, test acc: 0.775000, test avg acc: 0.766667
Train 155, loss: 0.812102, train acc: 0.953333, train avg acc: 0.954453
Test 155, loss: 0.955129, test acc: 0.775000, test avg acc: 0.766667
Train 156, loss: 0.798889, train acc: 0.973333, train avg acc: 0.973684
Test 156, loss: 0.953294, test acc: 0.850000, test avg acc: 0.847222
Train 157, loss: 0.800526, train acc: 0.980000, train avg acc: 0.980423
Test 157, loss: 0.962942, test acc: 0.850000, test avg acc: 0.847222
Train 158, loss: 0.813382, train acc: 0.966667, train avg acc: 0.965444
Test 158, loss: 0.987551, test acc: 0.825000, test avg acc: 0.822222
Train 159, loss: 0.827631, train acc: 0.953333, train avg acc: 0.955263
Test 159, loss: 0.930443, test acc: 0.825000, test avg acc: 0.822222
Train 160, loss: 0.795831, train acc: 0.960000, train avg acc: 0.960526
Test 160, loss: 0.946413, test acc: 0.800000, test avg acc: 0.783333
Train 161, loss: 0.787068, train acc: 0.980000, train avg acc: 0.979908
Test 161, loss: 0.956368, test acc: 0.775000, test avg acc: 0.758333
Train 162, loss: 0.782851, train acc: 0.986667, train avg acc: 0.987805
Test 162, loss: 0.923375, test acc: 0.800000, test avg acc: 0.791667
Train 163, loss: 0.796995, train acc: 0.973333, train avg acc: 0.973684
Test 163, loss: 0.980659, test acc: 0.850000, test avg acc: 0.847222
Train 164, loss: 0.788977, train acc: 0.980000, train avg acc: 0.980263
Test 164, loss: 0.947549, test acc: 0.800000, test avg acc: 0.791667
Train 165, loss: 0.793995, train acc: 0.973333, train avg acc: 0.974164
Test 165, loss: 0.958331, test acc: 0.750000, test avg acc: 0.730556
Train 166, loss: 0.790454, train acc: 0.986667, train avg acc: 0.986842
Test 166, loss: 0.948660, test acc: 0.775000, test avg acc: 0.761111
Train 167, loss: 0.794895, train acc: 0.966667, train avg acc: 0.968056
Test 167, loss: 0.969110, test acc: 0.875000, test avg acc: 0.872222
Train 168, loss: 0.788780, train acc: 0.986667, train avg acc: 0.987500
