K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet
Train 81, loss: 1.289446, train acc: 0.460000, train avg acc: 0.458779
Test 81, loss: 1.359112, test acc: 0.375000, test avg acc: 0.372475
Train 82, loss: 1.313441, train acc: 0.413333, train avg acc: 0.416701
Test 82, loss: 1.334137, test acc: 0.425000, test avg acc: 0.415657
Train 83, loss: 1.302292, train acc: 0.406667, train avg acc: 0.406738
Test 83, loss: 1.429567, test acc: 0.375000, test avg acc: 0.352778
Train 84, loss: 1.292263, train acc: 0.493333, train avg acc: 0.500085
Test 84, loss: 1.327381, test acc: 0.400000, test avg acc: 0.375000
Train 85, loss: 1.316529, train acc: 0.426667, train avg acc: 0.429314
Test 85, loss: 1.341875, test acc: 0.350000, test avg acc: 0.335606
Train 86, loss: 1.324151, train acc: 0.420000, train avg acc: 0.422543
Test 86, loss: 1.354473, test acc: 0.300000, test avg acc: 0.285101
Train 87, loss: 1.307401, train acc: 0.400000, train avg acc: 0.403628
Test 87, loss: 1.368567, test acc: 0.400000, test avg acc: 0.383333
Train 88, loss: 1.277829, train acc: 0.506667, train avg acc: 0.505631
Test 88, loss: 1.321825, test acc: 0.475000, test avg acc: 0.461111
Train 89, loss: 1.301862, train acc: 0.433333, train avg acc: 0.438509
Test 89, loss: 1.395144, test acc: 0.250000, test avg acc: 0.255556
Train 90, loss: 1.311816, train acc: 0.380000, train avg acc: 0.383554
Test 90, loss: 1.365901, test acc: 0.325000, test avg acc: 0.321465
Train 91, loss: 1.297855, train acc: 0.393333, train avg acc: 0.396063
Test 91, loss: 1.347919, test acc: 0.375000, test avg acc: 0.360101
Train 92, loss: 1.292572, train acc: 0.446667, train avg acc: 0.446161
Test 92, loss: 1.385921, test acc: 0.400000, test avg acc: 0.385101
Train 93, loss: 1.314065, train acc: 0.393333, train avg acc: 0.395626
Test 93, loss: 1.363862, test acc: 0.350000, test avg acc: 0.351515
Train 94, loss: 1.295738, train acc: 0.466667, train avg acc: 0.474452
Test 94, loss: 1.374426, test acc: 0.300000, test avg acc: 0.313889
Train 95, loss: 1.250221, train acc: 0.440000, train avg acc: 0.439291
Test 95, loss: 1.530615, test acc: 0.375000, test avg acc: 0.383333
Train 96, loss: 1.247726, train acc: 0.533333, train avg acc: 0.541041
Test 96, loss: 1.369503, test acc: 0.375000, test avg acc: 0.378788
Train 97, loss: 1.256627, train acc: 0.500000, train avg acc: 0.502871
Test 97, loss: 1.320096, test acc: 0.425000, test avg acc: 0.421970
Train 98, loss: 1.243459, train acc: 0.493333, train avg acc: 0.497186
Test 98, loss: 1.284422, test acc: 0.600000, test avg acc: 0.598990
Train 99, loss: 1.260144, train acc: 0.480000, train avg acc: 0.484279
Test 99, loss: 1.272165, test acc: 0.500000, test avg acc: 0.486111
Train 100, loss: 1.243067, train acc: 0.466667, train avg acc: 0.468122
Test 100, loss: 1.280353, test acc: 0.550000, test avg acc: 0.536111
Train 101, loss: 1.272746, train acc: 0.486667, train avg acc: 0.483118
Test 101, loss: 1.257814, test acc: 0.475000, test avg acc: 0.461111
Train 102, loss: 1.244707, train acc: 0.493333, train avg acc: 0.497807
Test 102, loss: 1.289645, test acc: 0.475000, test avg acc: 0.461111
Train 103, loss: 1.252459, train acc: 0.500000, train avg acc: 0.500638
Test 103, loss: 1.270193, test acc: 0.475000, test avg acc: 0.468434
Train 104, loss: 1.244292, train acc: 0.500000, train avg acc: 0.500173
Test 104, loss: 1.263896, test acc: 0.475000, test avg acc: 0.458333
Train 105, loss: 1.260811, train acc: 0.506667, train avg acc: 0.507257
Test 105, loss: 1.286296, test acc: 0.475000, test avg acc: 0.452778
Train 106, loss: 1.243325, train acc: 0.513333, train avg acc: 0.513633
Test 106, loss: 1.342719, test acc: 0.425000, test avg acc: 0.405556
Train 107, loss: 1.244237, train acc: 0.493333, train avg acc: 0.499770
Test 107, loss: 1.328360, test acc: 0.425000, test avg acc: 0.405556
Train 108, loss: 1.300844, train acc: 0.440000, train avg acc: 0.441826
Test 108, loss: 1.295423, test acc: 0.450000, test avg acc: 0.432828
Train 109, loss: 1.234537, train acc: 0.480000, train avg acc: 0.481570
Test 109, loss: 1.307298, test acc: 0.400000, test avg acc: 0.403030
Train 110, loss: 1.241780, train acc: 0.493333, train avg acc: 0.497616
Test 110, loss: 1.342859, test acc: 0.250000, test avg acc: 0.258838
Train 111, loss: 1.230413, train acc: 0.493333, train avg acc: 0.495726
Test 111, loss: 1.349076, test acc: 0.475000, test avg acc: 0.462374
Train 112, loss: 1.209383, train acc: 0.586667, train avg acc: 0.588193
Test 112, loss: 1.337680, test acc: 0.425000, test avg acc: 0.416919
Train 113, loss: 1.253374, train acc: 0.520000, train avg acc: 0.519795
Test 113, loss: 1.308037, test acc: 0.400000, test avg acc: 0.391919
Train 114, loss: 1.254129, train acc: 0.466667, train avg acc: 0.470571
Test 114, loss: 1.289431, test acc: 0.500000, test avg acc: 0.482828
Train 115, loss: 1.264902, train acc: 0.513333, train avg acc: 0.518129
Test 115, loss: 1.247094, test acc: 0.450000, test avg acc: 0.436111
Train 116, loss: 1.256523, train acc: 0.506667, train avg acc: 0.508709
Test 116, loss: 1.277322, test acc: 0.475000, test avg acc: 0.471212
Train 117, loss: 1.244573, train acc: 0.500000, train avg acc: 0.501155
Test 117, loss: 1.298099, test acc: 0.375000, test avg acc: 0.377020
Train 118, loss: 1.214319, train acc: 0.533333, train avg acc: 0.534649
Test 118, loss: 1.266132, test acc: 0.500000, test avg acc: 0.486111
Train 119, loss: 1.217647, train acc: 0.580000, train avg acc: 0.589724
Test 119, loss: 1.265103, test acc: 0.425000, test avg acc: 0.408333
Train 120, loss: 1.226217, train acc: 0.500000, train avg acc: 0.497511
Test 120, loss: 1.241559, test acc: 0.500000, test avg acc: 0.494444
Train 121, loss: 1.256037, train acc: 0.513333, train avg acc: 0.521305
Test 121, loss: 1.243443, test acc: 0.450000, test avg acc: 0.436111
Train 122, loss: 1.238761, train acc: 0.493333, train avg acc: 0.495004
Test 122, loss: 1.315591, test acc: 0.450000, test avg acc: 0.449747
Train 123, loss: 1.262646, train acc: 0.460000, train avg acc: 0.458710
Test 123, loss: 1.275295, test acc: 0.400000, test avg acc: 0.399747
Train 124, loss: 1.212936, train acc: 0.580000, train avg acc: 0.581433
Test 124, loss: 1.227833, test acc: 0.500000, test avg acc: 0.482828
Train 125, loss: 1.225437, train acc: 0.540000, train avg acc: 0.542446
Test 125, loss: 1.223280, test acc: 0.500000, test avg acc: 0.492929
Train 126, loss: 1.201971, train acc: 0.533333, train avg acc: 0.532471
Test 126, loss: 1.217229, test acc: 0.600000, test avg acc: 0.588384
Train 127, loss: 1.247129, train acc: 0.460000, train avg acc: 0.461242
Test 127, loss: 1.215949, test acc: 0.575000, test avg acc: 0.555556
Train 128, loss: 1.221490, train acc: 0.513333, train avg acc: 0.513687
Test 128, loss: 1.225308, test acc: 0.575000, test avg acc: 0.552778
Train 129, loss: 1.177848, train acc: 0.586667, train avg acc: 0.590643
Test 129, loss: 1.251909, test acc: 0.475000, test avg acc: 0.452273
Train 130, loss: 1.180082, train acc: 0.593333, train avg acc: 0.588027
Test 130, loss: 1.235290, test acc: 0.525000, test avg acc: 0.500000
Train 131, loss: 1.204261, train acc: 0.553333, train avg acc: 0.558011
Test 131, loss: 1.215694, test acc: 0.525000, test avg acc: 0.500000
Train 132, loss: 1.182325, train acc: 0.613333, train avg acc: 0.613689
Test 132, loss: 1.206139, test acc: 0.500000, test avg acc: 0.486111
Train 133, loss: 1.143101, train acc: 0.626667, train avg acc: 0.626422
Test 133, loss: 1.179553, test acc: 0.600000, test avg acc: 0.580556
Train 134, loss: 1.166156, train acc: 0.593333, train avg acc: 0.603715
Test 134, loss: 1.160617, test acc: 0.600000, test avg acc: 0.577778
Train 135, loss: 1.170457, train acc: 0.573333, train avg acc: 0.579636
Test 135, loss: 1.197699, test acc: 0.600000, test avg acc: 0.577778
Train 136, loss: 1.180060, train acc: 0.600000, train avg acc: 0.608349
Test 136, loss: 1.169444, test acc: 0.525000, test avg acc: 0.500000
Train 137, loss: 1.189136, train acc: 0.593333, train avg acc: 0.588018
Test 137, loss: 1.270541, test acc: 0.475000, test avg acc: 0.462374
Train 138, loss: 1.149108, train acc: 0.620000, train avg acc: 0.622785
Test 138, loss: 1.284417, test acc: 0.500000, test avg acc: 0.477778
Train 139, loss: 1.164708, train acc: 0.640000, train avg acc: 0.629634
Test 139, loss: 1.250378, test acc: 0.525000, test avg acc: 0.500000
Train 140, loss: 1.181119, train acc: 0.593333, train avg acc: 0.606513
Test 140, loss: 1.214369, test acc: 0.550000, test avg acc: 0.530556
Train 141, loss: 1.183266, train acc: 0.593333, train avg acc: 0.597423
Test 141, loss: 1.197246, test acc: 0.550000, test avg acc: 0.527778
Train 142, loss: 1.175447, train acc: 0.593333, train avg acc: 0.601763
Test 142, loss: 1.171469, test acc: 0.675000, test avg acc: 0.663889
Train 143, loss: 1.165675, train acc: 0.600000, train avg acc: 0.599050
Test 143, loss: 1.173751, test acc: 0.525000, test avg acc: 0.505556
Train 144, loss: 1.177776, train acc: 0.600000, train avg acc: 0.606910
Test 144, loss: 1.152206, test acc: 0.575000, test avg acc: 0.561111
Train 145, loss: 1.138924, train acc: 0.646667, train avg acc: 0.654880
Test 145, loss: 1.186854, test acc: 0.500000, test avg acc: 0.475000
Train 146, loss: 1.161813, train acc: 0.613333, train avg acc: 0.617694
Test 146, loss: 1.152477, test acc: 0.575000, test avg acc: 0.552778
Train 147, loss: 1.150542, train acc: 0.653333, train avg acc: 0.657164
Test 147, loss: 1.139303, test acc: 0.550000, test avg acc: 0.533333
Train 148, loss: 1.117415, train acc: 0.666667, train avg acc: 0.665013
Test 148, loss: 1.147590, test acc: 0.525000, test avg acc: 0.500000
Train 149, loss: 1.139631, train acc: 0.633333, train avg acc: 0.634649
Test 149, loss: 1.147417, test acc: 0.550000, test avg acc: 0.525000
Train 150, loss: 1.131252, train acc: 0.646667, train avg acc: 0.644559
Test 150, loss: 1.400605, test acc: 0.500000, test avg acc: 0.477273
Train 151, loss: 1.187318, train acc: 0.566667, train avg acc: 0.572054
Test 151, loss: 1.390080, test acc: 0.475000, test avg acc: 0.456818
Train 152, loss: 1.146681, train acc: 0.613333, train avg acc: 0.631067
Test 152, loss: 1.150963, test acc: 0.625000, test avg acc: 0.600000
Train 153, loss: 1.138771, train acc: 0.626667, train avg acc: 0.634015
Test 153, loss: 1.142099, test acc: 0.625000, test avg acc: 0.610101
Train 154, loss: 1.112942, train acc: 0.633333, train avg acc: 0.646937
Test 154, loss: 1.147564, test acc: 0.675000, test avg acc: 0.663889
Train 155, loss: 1.132122, train acc: 0.660000, train avg acc: 0.663078
Test 155, loss: 1.129515, test acc: 0.700000, test avg acc: 0.694444
