K: 5, local_K: 5, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Train 99, loss: 0.848199, train acc: 0.906667, train avg acc: 0.906650
Test 99, loss: 0.916102, test acc: 0.850000, test avg acc: 0.844444
Train 100, loss: 0.854249, train acc: 0.920000, train avg acc: 0.922595
Test 100, loss: 0.887200, test acc: 0.900000, test avg acc: 0.891667
Train 101, loss: 0.868383, train acc: 0.893333, train avg acc: 0.893697
Test 101, loss: 0.884145, test acc: 0.900000, test avg acc: 0.891667
Train 102, loss: 0.826258, train acc: 0.940000, train avg acc: 0.942308
Test 102, loss: 0.922164, test acc: 0.825000, test avg acc: 0.808333
Train 103, loss: 0.846005, train acc: 0.920000, train avg acc: 0.919956
Test 103, loss: 0.906104, test acc: 0.750000, test avg acc: 0.733333
Train 104, loss: 0.834958, train acc: 0.926667, train avg acc: 0.924577
Test 104, loss: 0.900010, test acc: 0.875000, test avg acc: 0.869444
Train 105, loss: 0.839604, train acc: 0.946667, train avg acc: 0.947650
Test 105, loss: 0.920916, test acc: 0.850000, test avg acc: 0.844444
Train 106, loss: 0.838541, train acc: 0.926667, train avg acc: 0.929730
Test 106, loss: 0.906984, test acc: 0.850000, test avg acc: 0.836111
Train 107, loss: 0.842858, train acc: 0.940000, train avg acc: 0.939189
Test 107, loss: 0.913381, test acc: 0.850000, test avg acc: 0.836111
Train 108, loss: 0.845776, train acc: 0.926667, train avg acc: 0.927408
Test 108, loss: 0.900157, test acc: 0.850000, test avg acc: 0.836111
Train 109, loss: 0.818387, train acc: 0.946667, train avg acc: 0.947368
Test 109, loss: 0.908923, test acc: 0.850000, test avg acc: 0.836111
Train 110, loss: 0.852370, train acc: 0.906667, train avg acc: 0.910980
Test 110, loss: 0.889409, test acc: 0.825000, test avg acc: 0.811111
Train 111, loss: 0.891489, train acc: 0.880000, train avg acc: 0.885897
Test 111, loss: 0.904796, test acc: 0.800000, test avg acc: 0.788889
Train 112, loss: 0.827498, train acc: 0.940000, train avg acc: 0.939480
Test 112, loss: 0.922486, test acc: 0.825000, test avg acc: 0.808333
Train 113, loss: 0.827497, train acc: 0.953333, train avg acc: 0.953947
Test 113, loss: 0.923500, test acc: 0.850000, test avg acc: 0.836111
Train 114, loss: 0.814005, train acc: 0.933333, train avg acc: 0.932432
Test 114, loss: 0.903523, test acc: 0.850000, test avg acc: 0.836111
Train 115, loss: 0.828289, train acc: 0.946667, train avg acc: 0.947332
Test 115, loss: 0.891589, test acc: 0.850000, test avg acc: 0.838889
Train 116, loss: 0.825367, train acc: 0.953333, train avg acc: 0.951754
Test 116, loss: 0.911010, test acc: 0.850000, test avg acc: 0.844444
Train 117, loss: 0.808153, train acc: 0.960000, train avg acc: 0.961032
Test 117, loss: 0.936502, test acc: 0.750000, test avg acc: 0.744444
Train 118, loss: 0.845396, train acc: 0.933333, train avg acc: 0.934211
Test 118, loss: 0.890177, test acc: 0.800000, test avg acc: 0.788889
Train 119, loss: 0.802965, train acc: 0.973333, train avg acc: 0.972201
Test 119, loss: 0.919117, test acc: 0.825000, test avg acc: 0.808333
Train 120, loss: 0.801907, train acc: 0.953333, train avg acc: 0.953721
Test 120, loss: 0.924696, test acc: 0.825000, test avg acc: 0.808333
Train 121, loss: 0.825453, train acc: 0.940000, train avg acc: 0.941776
Test 121, loss: 0.896745, test acc: 0.875000, test avg acc: 0.863889
Train 122, loss: 0.809939, train acc: 0.940000, train avg acc: 0.938251
Test 122, loss: 0.931178, test acc: 0.775000, test avg acc: 0.766667
Train 123, loss: 0.812490, train acc: 0.960000, train avg acc: 0.959795
Test 123, loss: 0.938048, test acc: 0.800000, test avg acc: 0.788889
Train 124, loss: 0.821642, train acc: 0.953333, train avg acc: 0.954622
Test 124, loss: 0.996027, test acc: 0.825000, test avg acc: 0.811111
Train 125, loss: 0.836947, train acc: 0.953333, train avg acc: 0.953049
Test 125, loss: 0.975090, test acc: 0.775000, test avg acc: 0.758333
Train 126, loss: 0.837949, train acc: 0.940000, train avg acc: 0.941615
Test 126, loss: 0.944799, test acc: 0.825000, test avg acc: 0.816667
Train 127, loss: 0.792410, train acc: 0.966667, train avg acc: 0.966927
Test 127, loss: 0.971994, test acc: 0.850000, test avg acc: 0.841667
Train 128, loss: 0.816002, train acc: 0.953333, train avg acc: 0.955609
Test 128, loss: 0.954830, test acc: 0.825000, test avg acc: 0.811111
