K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Train 138, loss: 0.765049, train acc: 0.993333, train avg acc: 0.993750
Test 138, loss: 0.970562, test acc: 0.750000, test avg acc: 0.736111
Train 139, loss: 0.775347, train acc: 0.986667, train avg acc: 0.987179
Test 139, loss: 1.021698, test acc: 0.800000, test avg acc: 0.797222
Train 140, loss: 0.783194, train acc: 0.986667, train avg acc: 0.986111
Test 140, loss: 1.007987, test acc: 0.775000, test avg acc: 0.769444
Train 141, loss: 0.789857, train acc: 0.986667, train avg acc: 0.987179
Test 141, loss: 0.999252, test acc: 0.750000, test avg acc: 0.741667
Train 142, loss: 0.773314, train acc: 0.980000, train avg acc: 0.980743
Test 142, loss: 1.015327, test acc: 0.725000, test avg acc: 0.713889
Train 143, loss: 0.770268, train acc: 0.993333, train avg acc: 0.993590
Test 143, loss: 0.999146, test acc: 0.775000, test avg acc: 0.766667
Train 144, loss: 0.760161, train acc: 1.000000, train avg acc: 1.000000
Test 144, loss: 1.011257, test acc: 0.750000, test avg acc: 0.741667
Train 145, loss: 0.798512, train acc: 0.960000, train avg acc: 0.961645
Test 145, loss: 1.008268, test acc: 0.750000, test avg acc: 0.741667
Train 146, loss: 0.782087, train acc: 0.986667, train avg acc: 0.986806
Test 146, loss: 1.012096, test acc: 0.725000, test avg acc: 0.713889
Train 147, loss: 0.778939, train acc: 0.966667, train avg acc: 0.965643
Test 147, loss: 0.974915, test acc: 0.725000, test avg acc: 0.708333
Train 148, loss: 0.770781, train acc: 0.993333, train avg acc: 0.993590
Test 148, loss: 0.982192, test acc: 0.750000, test avg acc: 0.733333
Train 149, loss: 0.785418, train acc: 0.980000, train avg acc: 0.980556
Test 149, loss: 1.015667, test acc: 0.800000, test avg acc: 0.797222
Train 150, loss: 0.772651, train acc: 0.993333, train avg acc: 0.993590
Test 150, loss: 1.050679, test acc: 0.800000, test avg acc: 0.797222
Train 151, loss: 0.777020, train acc: 0.986667, train avg acc: 0.986486
Test 151, loss: 1.011143, test acc: 0.775000, test avg acc: 0.766667
Train 152, loss: 0.778057, train acc: 0.980000, train avg acc: 0.980263
Test 152, loss: 0.992983, test acc: 0.750000, test avg acc: 0.738889
Train 153, loss: 0.805575, train acc: 0.980000, train avg acc: 0.978571
Test 153, loss: 1.033468, test acc: 0.750000, test avg acc: 0.741667
Train 154, loss: 0.789729, train acc: 0.973333, train avg acc: 0.974359
Test 154, loss: 0.993222, test acc: 0.775000, test avg acc: 0.769444
Train 155, loss: 0.790989, train acc: 0.986667, train avg acc: 0.986842
Test 155, loss: 0.984668, test acc: 0.775000, test avg acc: 0.769444
Train 156, loss: 0.772746, train acc: 0.993333, train avg acc: 0.993421
Test 156, loss: 1.004588, test acc: 0.750000, test avg acc: 0.741667
Train 157, loss: 0.788130, train acc: 0.980000, train avg acc: 0.980423
Test 157, loss: 1.039711, test acc: 0.775000, test avg acc: 0.769444
Train 158, loss: 0.791419, train acc: 0.973333, train avg acc: 0.971815
Test 158, loss: 1.062939, test acc: 0.800000, test avg acc: 0.797222
Train 159, loss: 0.784167, train acc: 0.980000, train avg acc: 0.980921
Test 159, loss: 1.013643, test acc: 0.750000, test avg acc: 0.741667
Train 160, loss: 0.775526, train acc: 0.986667, train avg acc: 0.986842
Test 160, loss: 1.008270, test acc: 0.725000, test avg acc: 0.708333
Train 161, loss: 0.773539, train acc: 1.000000, train avg acc: 1.000000
Test 161, loss: 1.020221, test acc: 0.750000, test avg acc: 0.741667
Train 162, loss: 0.783196, train acc: 0.986667, train avg acc: 0.987323
Test 162, loss: 1.058970, test acc: 0.775000, test avg acc: 0.769444
Train 163, loss: 0.782146, train acc: 0.993333, train avg acc: 0.993421
Test 163, loss: 1.066045, test acc: 0.800000, test avg acc: 0.797222
Train 164, loss: 0.772496, train acc: 0.993333, train avg acc: 0.993421
Test 164, loss: 1.038375, test acc: 0.775000, test avg acc: 0.769444
Train 165, loss: 0.780892, train acc: 0.986667, train avg acc: 0.987500
Test 165, loss: 1.014687, test acc: 0.800000, test avg acc: 0.794444
Train 166, loss: 0.770918, train acc: 0.986667, train avg acc: 0.986645
Test 166, loss: 1.033550, test acc: 0.750000, test avg acc: 0.741667
Train 167, loss: 0.770065, train acc: 0.993333, train avg acc: 0.993750
Test 167, loss: 1.015641, test acc: 0.775000, test avg acc: 0.769444
Train 168, loss: 0.763571, train acc: 1.000000, train avg acc: 1.000000
Test 168, loss: 1.038519, test acc: 0.775000, test avg acc: 0.769444
