K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet_norm
Train 85, loss: 0.880190, train acc: 0.880000, train avg acc: 0.877440
Test 85, loss: 0.921459, test acc: 0.725000, test avg acc: 0.713889
Train 86, loss: 0.888698, train acc: 0.873333, train avg acc: 0.875433
Test 86, loss: 0.937873, test acc: 0.750000, test avg acc: 0.741667
Train 87, loss: 0.888445, train acc: 0.880000, train avg acc: 0.879808
Test 87, loss: 0.925006, test acc: 0.750000, test avg acc: 0.741667
Train 88, loss: 0.899088, train acc: 0.846667, train avg acc: 0.848684
Test 88, loss: 0.912617, test acc: 0.775000, test avg acc: 0.766667
Train 89, loss: 0.910288, train acc: 0.853333, train avg acc: 0.861239
Test 89, loss: 0.917847, test acc: 0.800000, test avg acc: 0.783333
Train 90, loss: 0.897230, train acc: 0.860000, train avg acc: 0.865203
Test 90, loss: 0.924510, test acc: 0.700000, test avg acc: 0.683333
Train 91, loss: 0.878156, train acc: 0.866667, train avg acc: 0.870139
Test 91, loss: 0.921250, test acc: 0.700000, test avg acc: 0.686111
Train 92, loss: 0.922382, train acc: 0.860000, train avg acc: 0.860417
Test 92, loss: 0.929363, test acc: 0.775000, test avg acc: 0.769444
Train 93, loss: 0.922313, train acc: 0.833333, train avg acc: 0.837213
Test 93, loss: 0.931091, test acc: 0.725000, test avg acc: 0.713889
Train 94, loss: 0.884795, train acc: 0.906667, train avg acc: 0.904605
Test 94, loss: 0.921560, test acc: 0.775000, test avg acc: 0.761111
Train 95, loss: 0.903733, train acc: 0.846667, train avg acc: 0.852961
Test 95, loss: 0.912176, test acc: 0.750000, test avg acc: 0.736111
Train 96, loss: 0.907347, train acc: 0.833333, train avg acc: 0.831259
Test 96, loss: 0.911684, test acc: 0.750000, test avg acc: 0.738889
Train 97, loss: 0.916467, train acc: 0.860000, train avg acc: 0.865385
Test 97, loss: 0.922478, test acc: 0.775000, test avg acc: 0.766667
Train 98, loss: 0.905136, train acc: 0.826667, train avg acc: 0.826280
Test 98, loss: 0.910553, test acc: 0.750000, test avg acc: 0.738889
Train 99, loss: 0.898230, train acc: 0.853333, train avg acc: 0.857794
Test 99, loss: 0.915611, test acc: 0.725000, test avg acc: 0.713889
Train 100, loss: 0.902062, train acc: 0.840000, train avg acc: 0.849326
Test 100, loss: 0.920885, test acc: 0.750000, test avg acc: 0.736111
Train 101, loss: 0.906556, train acc: 0.860000, train avg acc: 0.861920
Test 101, loss: 0.910738, test acc: 0.775000, test avg acc: 0.763889
