K: 15, local_K: 15, Batch: 28.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Test 126, loss: 0.902473, test acc: 0.800000, test avg acc: 0.791667
Train 127, loss: 0.801214, train acc: 0.964286, train avg acc: 0.964286
Test 127, loss: 0.934821, test acc: 0.825000, test avg acc: 0.822222
Train 128, loss: 0.793006, train acc: 0.978571, train avg acc: 0.979167
Test 128, loss: 0.923983, test acc: 0.825000, test avg acc: 0.822222
Train 129, loss: 0.779611, train acc: 0.978571, train avg acc: 0.978770
Test 129, loss: 0.902434, test acc: 0.825000, test avg acc: 0.822222
Train 130, loss: 0.796280, train acc: 0.971429, train avg acc: 0.970588
Test 130, loss: 0.927979, test acc: 0.825000, test avg acc: 0.819444
Train 131, loss: 0.787525, train acc: 0.985714, train avg acc: 0.985667
Test 131, loss: 0.949064, test acc: 0.800000, test avg acc: 0.791667
Train 132, loss: 0.790685, train acc: 0.957143, train avg acc: 0.956699
Test 132, loss: 1.002841, test acc: 0.800000, test avg acc: 0.797222
Train 133, loss: 0.820645, train acc: 0.950000, train avg acc: 0.952797
Test 133, loss: 1.022648, test acc: 0.775000, test avg acc: 0.772222
Train 134, loss: 0.809772, train acc: 0.950000, train avg acc: 0.951952
Test 134, loss: 0.936692, test acc: 0.825000, test avg acc: 0.822222
Train 135, loss: 0.790135, train acc: 0.985714, train avg acc: 0.985480
Test 135, loss: 0.917706, test acc: 0.825000, test avg acc: 0.819444
Train 136, loss: 0.792466, train acc: 0.978571, train avg acc: 0.978968
Test 136, loss: 0.912474, test acc: 0.825000, test avg acc: 0.819444
Train 137, loss: 0.791005, train acc: 0.964286, train avg acc: 0.965058
Test 137, loss: 0.937321, test acc: 0.800000, test avg acc: 0.794444
Train 138, loss: 0.809249, train acc: 0.957143, train avg acc: 0.958698
Test 138, loss: 0.934186, test acc: 0.800000, test avg acc: 0.794444
Train 139, loss: 0.789294, train acc: 0.992857, train avg acc: 0.993421
Test 139, loss: 0.920209, test acc: 0.800000, test avg acc: 0.794444
Train 140, loss: 0.808551, train acc: 0.971429, train avg acc: 0.971429
Test 140, loss: 0.953019, test acc: 0.825000, test avg acc: 0.822222
Train 141, loss: 0.793405, train acc: 0.978571, train avg acc: 0.980085
Test 141, loss: 0.955941, test acc: 0.775000, test avg acc: 0.766667
Train 142, loss: 0.778504, train acc: 0.992857, train avg acc: 0.993590
Test 142, loss: 0.953566, test acc: 0.750000, test avg acc: 0.738889
Train 143, loss: 0.799868, train acc: 0.964286, train avg acc: 0.965830
Test 143, loss: 0.922329, test acc: 0.750000, test avg acc: 0.736111
Train 144, loss: 0.774107, train acc: 0.992857, train avg acc: 0.992857
Test 144, loss: 0.917727, test acc: 0.800000, test avg acc: 0.788889
Train 145, loss: 0.786911, train acc: 0.985714, train avg acc: 0.986842
Test 145, loss: 0.907683, test acc: 0.800000, test avg acc: 0.794444
Train 146, loss: 0.783648, train acc: 0.992857, train avg acc: 0.992647
Test 146, loss: 0.936782, test acc: 0.825000, test avg acc: 0.822222
Train 147, loss: 0.769840, train acc: 1.000000, train avg acc: 1.000000
Test 147, loss: 0.937185, test acc: 0.825000, test avg acc: 0.819444
Train 148, loss: 0.779499, train acc: 0.985714, train avg acc: 0.985714
Test 148, loss: 0.919114, test acc: 0.850000, test avg acc: 0.847222
Train 149, loss: 0.780474, train acc: 0.978571, train avg acc: 0.979489
Test 149, loss: 0.913570, test acc: 0.825000, test avg acc: 0.819444
