K: 16, local_K: 16, Batch: 10.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Train 89, loss: 0.926922, train acc: 0.862500, train avg acc: 0.864177
Test 89, loss: 0.972979, test acc: 0.750000, test avg acc: 0.736111
Train 90, loss: 0.941786, train acc: 0.837500, train avg acc: 0.839634
Test 90, loss: 0.960114, test acc: 0.725000, test avg acc: 0.711111
Train 91, loss: 0.905419, train acc: 0.868750, train avg acc: 0.870122
Test 91, loss: 0.972147, test acc: 0.725000, test avg acc: 0.711111
Train 92, loss: 0.948334, train acc: 0.850000, train avg acc: 0.851677
Test 92, loss: 0.999099, test acc: 0.675000, test avg acc: 0.655556
Train 93, loss: 0.935242, train acc: 0.831250, train avg acc: 0.833537
Test 93, loss: 0.938477, test acc: 0.750000, test avg acc: 0.738889
Train 94, loss: 0.933488, train acc: 0.856250, train avg acc: 0.858232
Test 94, loss: 0.965876, test acc: 0.750000, test avg acc: 0.744444
Train 95, loss: 0.935093, train acc: 0.831250, train avg acc: 0.832774
Test 95, loss: 0.956305, test acc: 0.800000, test avg acc: 0.780556
Train 96, loss: 0.911423, train acc: 0.862500, train avg acc: 0.864177
Test 96, loss: 0.973472, test acc: 0.725000, test avg acc: 0.711111
Train 97, loss: 0.907602, train acc: 0.856250, train avg acc: 0.858232
Test 97, loss: 0.988012, test acc: 0.725000, test avg acc: 0.713889
Train 98, loss: 0.920358, train acc: 0.843750, train avg acc: 0.845732
Test 98, loss: 0.966111, test acc: 0.800000, test avg acc: 0.783333
Train 99, loss: 0.929955, train acc: 0.893750, train avg acc: 0.895122
Test 99, loss: 0.977496, test acc: 0.725000, test avg acc: 0.713889
Train 100, loss: 0.897936, train acc: 0.850000, train avg acc: 0.851524
Test 100, loss: 0.984359, test acc: 0.775000, test avg acc: 0.758333
Train 101, loss: 0.906983, train acc: 0.856250, train avg acc: 0.857927
Test 101, loss: 0.975281, test acc: 0.725000, test avg acc: 0.716667
Train 102, loss: 0.905213, train acc: 0.862500, train avg acc: 0.864329
Test 102, loss: 0.982498, test acc: 0.750000, test avg acc: 0.738889
Train 103, loss: 0.922829, train acc: 0.843750, train avg acc: 0.845427
Test 103, loss: 0.973812, test acc: 0.725000, test avg acc: 0.713889
Train 104, loss: 0.927196, train acc: 0.862500, train avg acc: 0.864329
Test 104, loss: 0.951317, test acc: 0.725000, test avg acc: 0.716667
Train 105, loss: 0.906404, train acc: 0.850000, train avg acc: 0.851677
Test 105, loss: 0.959455, test acc: 0.825000, test avg acc: 0.813889
Train 106, loss: 0.923578, train acc: 0.850000, train avg acc: 0.851372
Test 106, loss: 0.971621, test acc: 0.750000, test avg acc: 0.738889
Train 107, loss: 0.902928, train acc: 0.887500, train avg acc: 0.888872
Test 107, loss: 0.975344, test acc: 0.725000, test avg acc: 0.711111
Train 108, loss: 0.919024, train acc: 0.850000, train avg acc: 0.852439
Test 108, loss: 0.955266, test acc: 0.775000, test avg acc: 0.755556
Train 109, loss: 0.912344, train acc: 0.875000, train avg acc: 0.876974
Test 109, loss: 0.959537, test acc: 0.725000, test avg acc: 0.716667
Train 110, loss: 0.895203, train acc: 0.893750, train avg acc: 0.894817
Test 110, loss: 0.978399, test acc: 0.825000, test avg acc: 0.811111
Train 111, loss: 0.907514, train acc: 0.862500, train avg acc: 0.863872
Test 111, loss: 0.979784, test acc: 0.700000, test avg acc: 0.686111
Train 112, loss: 0.908837, train acc: 0.881250, train avg acc: 0.883079
Test 112, loss: 0.953171, test acc: 0.775000, test avg acc: 0.758333
Train 113, loss: 0.914070, train acc: 0.837500, train avg acc: 0.839177
Test 113, loss: 1.003180, test acc: 0.775000, test avg acc: 0.755556
Train 114, loss: 0.906616, train acc: 0.900000, train avg acc: 0.901829
Test 114, loss: 0.984361, test acc: 0.725000, test avg acc: 0.716667
Train 115, loss: 0.932975, train acc: 0.850000, train avg acc: 0.851677
Test 115, loss: 0.961865, test acc: 0.800000, test avg acc: 0.780556
Train 116, loss: 0.907043, train acc: 0.868750, train avg acc: 0.869962
Test 116, loss: 0.962993, test acc: 0.750000, test avg acc: 0.741667
Train 117, loss: 0.910590, train acc: 0.881250, train avg acc: 0.882165
Test 117, loss: 0.962873, test acc: 0.700000, test avg acc: 0.683333
Train 118, loss: 0.875097, train acc: 0.893750, train avg acc: 0.895274
Test 118, loss: 0.964458, test acc: 0.725000, test avg acc: 0.716667
Train 119, loss: 0.890093, train acc: 0.868750, train avg acc: 0.869817
Test 119, loss: 0.951238, test acc: 0.750000, test avg acc: 0.741667
Train 120, loss: 0.916711, train acc: 0.862500, train avg acc: 0.864482
Test 120, loss: 0.962799, test acc: 0.750000, test avg acc: 0.741667
Train 121, loss: 0.897811, train acc: 0.887500, train avg acc: 0.888872
Test 121, loss: 0.975434, test acc: 0.775000, test avg acc: 0.761111
Train 122, loss: 0.902264, train acc: 0.875000, train avg acc: 0.876524
Test 122, loss: 0.996238, test acc: 0.750000, test avg acc: 0.736111
Train 123, loss: 0.890705, train acc: 0.868750, train avg acc: 0.870884
Test 123, loss: 0.978537, test acc: 0.750000, test avg acc: 0.741667
Train 124, loss: 0.934815, train acc: 0.831250, train avg acc: 0.832470
Test 124, loss: 0.989334, test acc: 0.775000, test avg acc: 0.758333
Train 125, loss: 0.897130, train acc: 0.893750, train avg acc: 0.895579
Test 125, loss: 0.961407, test acc: 0.750000, test avg acc: 0.736111
Train 126, loss: 0.906235, train acc: 0.906250, train avg acc: 0.906707
Test 126, loss: 0.960802, test acc: 0.800000, test avg acc: 0.780556
Train 127, loss: 0.884425, train acc: 0.887500, train avg acc: 0.889482
Test 127, loss: 0.958226, test acc: 0.800000, test avg acc: 0.783333
