K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Test 174, loss: 0.974786, test acc: 0.825000, test avg acc: 0.811111
Train 175, loss: 0.856877, train acc: 0.893333, train avg acc: 0.898718
Test 175, loss: 0.963678, test acc: 0.800000, test avg acc: 0.786111
Train 176, loss: 0.858352, train acc: 0.926667, train avg acc: 0.927700
Test 176, loss: 0.943838, test acc: 0.850000, test avg acc: 0.841667
Train 177, loss: 0.857191, train acc: 0.906667, train avg acc: 0.905449
Test 177, loss: 0.942165, test acc: 0.850000, test avg acc: 0.841667
Train 178, loss: 0.853299, train acc: 0.906667, train avg acc: 0.911192
Test 178, loss: 0.969278, test acc: 0.825000, test avg acc: 0.813889
Train 179, loss: 0.858103, train acc: 0.906667, train avg acc: 0.907248
Test 179, loss: 0.950910, test acc: 0.825000, test avg acc: 0.813889
Train 180, loss: 0.839049, train acc: 0.920000, train avg acc: 0.918681
Test 180, loss: 0.943112, test acc: 0.825000, test avg acc: 0.816667
Train 181, loss: 0.866749, train acc: 0.913333, train avg acc: 0.912162
Test 181, loss: 0.960267, test acc: 0.825000, test avg acc: 0.813889
Train 182, loss: 0.866232, train acc: 0.893333, train avg acc: 0.891082
Test 182, loss: 0.956923, test acc: 0.850000, test avg acc: 0.844444
Train 183, loss: 0.857579, train acc: 0.886667, train avg acc: 0.886521
Test 183, loss: 0.936525, test acc: 0.875000, test avg acc: 0.872222
Train 184, loss: 0.843471, train acc: 0.926667, train avg acc: 0.926557
Test 184, loss: 0.916052, test acc: 0.850000, test avg acc: 0.844444
Train 185, loss: 0.865427, train acc: 0.913333, train avg acc: 0.910661
Test 185, loss: 0.967460, test acc: 0.825000, test avg acc: 0.813889
Train 186, loss: 0.853236, train acc: 0.880000, train avg acc: 0.882622
Test 186, loss: 0.946309, test acc: 0.825000, test avg acc: 0.816667
Train 187, loss: 0.858767, train acc: 0.886667, train avg acc: 0.881502
Test 187, loss: 0.937524, test acc: 0.875000, test avg acc: 0.872222
Train 188, loss: 0.841050, train acc: 0.926667, train avg acc: 0.925676
Test 188, loss: 0.953368, test acc: 0.825000, test avg acc: 0.813889
Train 189, loss: 0.837908, train acc: 0.920000, train avg acc: 0.921691
Test 189, loss: 0.969944, test acc: 0.825000, test avg acc: 0.813889
Train 190, loss: 0.847732, train acc: 0.926667, train avg acc: 0.927062
