K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet
Test 145, loss: 1.262215, test acc: 0.575000, test avg acc: 0.567424
Train 146, loss: 1.313182, train acc: 0.413333, train avg acc: 0.416303
Test 146, loss: 1.248327, test acc: 0.600000, test avg acc: 0.590152
Train 147, loss: 1.285800, train acc: 0.493333, train avg acc: 0.491411
Test 147, loss: 1.241634, test acc: 0.625000, test avg acc: 0.617929
Train 148, loss: 1.278823, train acc: 0.506667, train avg acc: 0.500863
Test 148, loss: 1.250719, test acc: 0.575000, test avg acc: 0.572475
Train 149, loss: 1.286483, train acc: 0.473333, train avg acc: 0.467178
Test 149, loss: 1.246720, test acc: 0.550000, test avg acc: 0.535101
Train 150, loss: 1.301039, train acc: 0.446667, train avg acc: 0.444168
Test 150, loss: 1.252867, test acc: 0.500000, test avg acc: 0.485101
Train 151, loss: 1.289163, train acc: 0.460000, train avg acc: 0.457309
Test 151, loss: 1.238692, test acc: 0.525000, test avg acc: 0.507323
Train 152, loss: 1.266871, train acc: 0.500000, train avg acc: 0.511682
Test 152, loss: 1.242049, test acc: 0.600000, test avg acc: 0.585101
Train 153, loss: 1.303103, train acc: 0.473333, train avg acc: 0.478044
Test 153, loss: 1.251392, test acc: 0.550000, test avg acc: 0.542424
Train 154, loss: 1.300314, train acc: 0.460000, train avg acc: 0.468446
Test 154, loss: 1.253124, test acc: 0.600000, test avg acc: 0.585101
Train 155, loss: 1.305307, train acc: 0.400000, train avg acc: 0.405904
Test 155, loss: 1.260047, test acc: 0.550000, test avg acc: 0.540152
Train 156, loss: 1.314262, train acc: 0.406667, train avg acc: 0.406937
Test 156, loss: 1.285331, test acc: 0.500000, test avg acc: 0.495707
Train 157, loss: 1.298378, train acc: 0.446667, train avg acc: 0.453585
Test 157, loss: 1.269807, test acc: 0.475000, test avg acc: 0.467929
Train 158, loss: 1.281515, train acc: 0.460000, train avg acc: 0.461593
Test 158, loss: 1.245290, test acc: 0.625000, test avg acc: 0.621212
Train 159, loss: 1.280569, train acc: 0.493333, train avg acc: 0.484490
Test 159, loss: 1.231859, test acc: 0.550000, test avg acc: 0.532323
Train 160, loss: 1.261751, train acc: 0.460000, train avg acc: 0.469684
Test 160, loss: 1.231784, test acc: 0.550000, test avg acc: 0.537374
Train 161, loss: 1.307479, train acc: 0.446667, train avg acc: 0.456725
